Taxon	Group11	Group12	Group13	Group14	Group15	Group16	Group17	Group18	Group119	Group110	Group111	Group112	Group113	Group114	Group115	Group116	Group117	Group118	Group119	Group120	Group121	Group123	Group124	Group125	Group126	Group127	Group128	Group129	Group21	Group22	Group23	Group24	Group25	Group26	Group27	Group28	Group29	Group210	Group211	Group212	Group213	Group214	Group215	Group216	Group217	Group218	Group219	Group220	Group222	Group224	Group225	Group226	Group227	Group228	Group229	Group230	Group231	Group232
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia;s__	28	0	0	10	0	0	40	0	0	0	0	0	0	16	81	0	0	0	193	0	0	0	11	0	0	0	14	0	0	0	44	0	176	0	0	0	21	0	0	42	0	0	0	0	0	40	0	0	0	7	0	0	14	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	3	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	105	0	0	0	0	0	0	12	0	0	0	198	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	1460	519	3195	79	3775	2255	846	5467	2642	2981	3038	8933	1998	25	2185	5937	7637	1002	3395	12699	9695	1079	551	3842	521	5931	907	1582	2216	6307	221	2000	193	782	2961	1887	4125	12478	3918	12546	2500	5185	925	1791	6215	1682	3871	2759	5226	1504	1647	1209	1915	1870	6515	10212	936	6779
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	31	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__coprophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__eggerthii	0	0	0	0	0	0	0	0	0	0	1456	1382	9	0	0	0	0	0	654	0	9	966	27	0	153	0	0	0	0	0	0	0	0	338	0	0	85	0	489	0	0	0	0	28	362	0	0	0	0	19	0	0	0	31	0	34	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis	0	4	42	0	0	0	0	85	19	0	0	126	0	3	0	12	20	311	0	1692	128	133	0	19	0	53	0	18	8	20	0	162	0	0	0	0	0	222	108	0	20	4	0	12	0	0	0	28	0	0	0	0	29	171	0	6	26	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus	214	11	912	6	732	99	82	1340	541	1685	0	6	29	0	27	500	1107	2553	54	3556	685	505	8	1112	0	17	154	677	62	0	3	0	67	94	509	97	612	390	1339	61	3096	144	101	26	407	154	821	331	0	138	115	284	21	0	59	5	20	446
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2637	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	445	82	2201	38	730	237	92	603	857	0	1428	861	110	6	427	78	1542	0	560	1476	836	164	116	1281	225	2927	21	0	58	2408	30	536	64	234	486	462	667	691	499	1504	2504	402	119	176	816	36	627	545	0	126	528	0	471	141	279	1136	96	708
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__	183	16	482	22	453	167	62	208	48	0	0	245	179	48	86	109	471	37	204	0	296	139	49	4	53	283	127	0	96	0	63	0	57	0	63	150	115	66	130	0	318	355	0	21	137	121	9	33	0	208	265	207	26	165	106	417	140	356
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis	48	25	68	24	300	65	21	484	170	130	109	104	149	6	139	37	0	0	98	1626	363	0	24	42	4	297	21	45	38	505	12	0	31	59	134	13	44	718	62	1162	0	358	31	179	203	102	70	95	0	118	278	315	47	73	35	3	25	372
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__endodontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	0	0	0	0	15	0	0	0	0	0	0	338	73	195	0	0	0	0	0	0	0	5	11	0	20	0	0	0	0	0	5	0	46	0	0	129	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	8	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri	0	0	105	16317	0	0	2452	0	0	0	0	0	15560	3073	0	0	0	0	20	159	0	0	12	5	111	0	486	0	15966	0	3	0	1527	0	0	0	0	0	0	0	0	0	4188	0	7	0	0	0	11833	5500	0	0	983	8770	0	0	10032	6
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea	0	0	4	791	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	501	140	836	92	87	146	264	3088	323	561	1085	1313	152	19	473	306	1218	0	841	0	4116	162	190	674	18	100	747	5	39	366	63	0	407	249	24	301	166	582	220	1556	115	289	343	399	675	343	26	521	0	568	1854	290	112	0	237	358	69	524
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__	0	0	6	205	0	0	199	0	0	0	0	41	0	171	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	62	39	255	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__;s__	102	52	108	4	0	0	0	0	0	0	0	0	0	0	74	17	0	0	31	0	287	20	109	0	0	102	31	0	21	0	36	0	0	9	0	0	0	126	0	0	0	0	0	118	93	124	0	0	0	14	213	0	66	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__	14	0	37	29	0	10	71	0	24	0	0	65	39	6	24	0	0	0	31	0	147	7	14	0	5	72	33	0	0	86	10	0	0	14	0	0	5	68	0	0	0	0	0	0	71	11	0	0	0	69	0	0	18	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__	30	12	63	5	67	0	21	149	47	40	14	122	16	0	11	41	149	128	52	0	239	9	17	0	32	13	26	0	9	0	3	0	5	16	0	12	23	0	79	0	0	33	20	124	67	12	18	0	0	25	152	0	5	0	48	4	31	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__;s__	0	0	0	26	0	0	0	0	0	0	0	26	0	8	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__	18	60	0	27	708	0	93	0	0	0	0	194	83	0	211	0	0	0	403	0	0	0	7	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	262	0	0	0	0	120	133	0	0	0	0	3	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__	0	0	0	613	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	17	0	159	0	0	0	0	0	24	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__;s__	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	140	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__;s__	0	0	0	375	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;Other;Other	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other;Other	0	8	0	0	0	3	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5	16	0	0	10	0	0	0	0	5	0	0	0	0	0	0	3	7	0	0	0	7	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__;s__	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other;Other	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	144	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	27	3	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	78	0	0	0	0	0	0
